RegisSTAR,6
und Getränkeindustrie,2
Arbeitsgemeinschaft Bewährungshilfe Bayern,1
Bündnis für Prävention in Bayern,2
EFRE,97
Bayerische Landesapothekerkammer,2
Metallbau Bernreiter,2
Staatsministeriums der Justiz,129
"Bayerische Staatsministerium für Wirtschaft, Landesentwicklung und Energie",151
Landesnotarkammer,6
VOC,2
MDS,24
Staatlichen Fachakademie für Landwirtschaft,4
kbo-Isar-Amper-Klinikums,2
Greenpeace e,1
threads,52758
Bayerischen Musikrats,20
BMZ,15
Externe Kommunikation,2
Bundesstiftung zur Aufarbeitung,2
brlv,2
Filmtheater,2
BayZiel,4
TNT,4
Bayerischen Justizakademie,70
KU,7
KINDERreich in Bayern,4
Europäische Zentrum für Dispersionstechnologien,47
regensburg.ihk.de,2
Deutsche Stiftung Patientenschutz,2
Koordinierungsgruppe,2
Collegium Nürnberger MundartdichterDas,2
Bayern Direkt,12
LAG SELBSTHILFE Bayern e.V,2
Zweckverband Volkshochschule Rupertiwinkel,2
Limes-Cicerones Bayern e. V.,4
Deutsche UNESCO-Kommission,1
Renaturierung Dattenhauser Ried,2
GMG,1
Fachklinik St. Lukas,2
Johann-Michael-Sailer-Gymnasium,2
Netzwerk Leichte Sprache e.V,36
Deutsche Bewährungshilfe,1
Bayerischen Sozialministeriums,10
BOS Scheyern,8
Diakonie,2
LARE,2
Bayerischen Obersten Rechnungshofs,2
Mittelschule Niederviehbach,2
JV,1
Die Zeit,12
C.H.Beck,4
Augsburger Verkehrs- und Tarifverbund,2
Franz-Ludwig-Gymnasium,4
lagfa Bayern e.V,2
Polizei,4
piwik,4
Beratungsstelle für Energieeffizienz und Nachhaltigkeit,2
iBALIS,53
Landesfeuerwehrverband Bayern e.V,4
Reuthwind GmbH & Co. KG,1
Eberhard von Kuenheim Stiftungs,2
Zesavi,1
GAP,54
SCHANKULA Architekten,8
Monopolkommission,14
Franken,2
Fischer Planen und Bauen GmbH,2
GDA,4
Bayerischer Waldbesitzerverband e.V,4
REGINA GmbH,2
Bayerischen Kinderschutzambulanz,2
Karlsuniversität,2
Fidel Schub GmbH & Co. KG,4
CharliesNames,1
Museums-Pädagogischen Zentrums,1
SKZ-KFE gGmbH,4
Markgraf-Georg-Friedrich-Gymnasium,3
IPCEI Photovoltaik,1
Bayern Familie und Soziales-Bayerisches Landesjugendamt,2
iTunes App Store,4
Z.B,16
Restaurant,2
Chile,1
Google Play,10
Zentrale Vollstreckungsgericht Hof,16
Bayerischer Bankenverband,2
Alexander-Brochier-Stiftung,2
Akademie Töging,2
Harvard Medical School,1
SWM Stadtwerke München,1
StMB,66
Balthasar-Neumann-Gymnasium Marktheidenfeld,4
senatorinnen und,4
Bayerisches Verkehrsministerium,4
WEISSE RING,16
NES-Allianz,2
BayChina,6
Munich Quantum Valley,2
Landwirtschaft und Verbraucherschutz,2
Elektrische Energiespeichertechnik,1
INLB,6
MINT-Netz,6
CCM Classic Concerts Management GmbH,1
Ö,4
BayDSchG,10
Bayerischen Ethikrates,2
MERO Germany GmbH,2
Bayerische Landesstiftung,6
HUND B.communication,16
Deutsche Rentenversicherung Schwaben,2
THW,28
Bundessteuerberaterkammer,2
Zentrale Mahngericht Coburg,10
TSO-DPO,1
Kronberg-Gymnasiums,3
Gemeinsam Mensch e.V,1
Augustiner-Chorherrenstifts,6
wolterskluwer.de,4
Schwaiganger,2
Bayerischen Staatsministeriums für Umwelt und Verbraucherschutz,38
ag-fue.bayern.deFür,1
DIPF,2
Berufsverbands Bildender Künstlerinnen und Künstler Landesverband Bayern,4
für Tierzucht,2
Weigl,2
Wir schaffen das e,2
CDA,2
Soziale Landwirtschaft Bayern e.V.,1
Grundschule München,4
foerderlehrer-freising.de,10
Bayerische Arbeitsgemeinschaft zur Förderung der Pflegeberufe,2
DasBestefürBayern,2
Zentrales Vollstreckungsgericht Hof,4
KHG,2
schulberatung-mittelfranken.de,12
Mobility Data Space,36
des Deutschen Richterbunds,2
Pepper,4
BayStVollzG,16
Berufsverband Bildender Künstlerinnen und Künstler Landesverband Bayern e.V,2
MVBF,1
Bayerische Chip Design-Center,1
Maria-Theresia-Gymnasium München,5
Ressortkreis Strategie für Cybersicherheit,2
allespresso,2
AlpBC SEAP Alps,2
Instituts für Diabetesforschung,2
Diakonie Erlangen,2
LAG Theater und Film,8
Raytheon Missiles & Defense,2
